soort;X;Y;taxon
Arenaria_serpyllifolia;1310;218;plant
Asparagus_officinalis;642;373;plant
Asparagus_officinalis;199;295;plant
Asparagus_officinalis;235;263;plant
Crepis_sp.;108;118;plant
Crepis_sp.;100;113;plant
Crepis_sp.;148;124;plant
Crepis_sp.;216;123;plant
Crepis_sp.;380;154;plant
Crepis_sp.;555;108;plant
Crepis_sp.;454;557;plant
Crepis_sp.;464;483;plant
Crepis_sp.;490;462;plant
Crepis_sp.;490;464;plant
Crepis_sp.;520;474;plant
Crepis_sp.;522;468;plant
Crepis_sp.;531;482;plant
Crepis_sp.;530;500;plant
Crepis_sp.;1488;556;plant
Crepis_sp.;1486;585;plant
Crepis_sp.;1459;540;plant
Crepis_sp.;1451;584;plant
Crepis_sp.;1444;538;plant
Crepis_sp.;1442;534;plant
Crepis_sp.;1407;560;plant
Crepis_sp.;1405;544;plant
Crepis_sp.;24;444;plant
Crepis_sp.;28;492;plant
Crepis_sp.;30;492;plant
Crepis_sp.;72;472;plant
Crepis_sp.;131;445;plant
Crepis_sp.;138;419;plant
Crepis_sp.;169;426;plant
Crepis_sp.;284;419;plant
Crepis_sp.;348;482;plant
Crepis_sp.;405;429;plant
Crepis_sp.;444;423;plant
Crepis_sp.;447;470;plant
Crepis_sp.;194;325;plant
Crepis_sp.;242;321;plant
Crepis_sp.;250;331;plant
Crepis_sp.;254;328;plant
Crepis_sp.;265;331;plant
Crepis_sp.;295;369;plant
Crepis_sp.;299;308;plant
Crepis_sp.;430;336;plant
Crepis_sp.;1;309;plant
Crepis_sp.;4;366;plant
Crepis_sp.;21;379;plant
Crepis_sp.;26;396;plant
Crepis_sp.;35;302;plant
Crepis_sp.;51;375;plant
Crepis_sp.;52;372;plant
Crepis_sp.;66;304;plant
Crepis_sp.;77;368;plant
Crepis_sp.;76;395;plant
Crepis_sp.;119;357;plant
Crepis_sp.;161;325;plant
Crepis_sp.;10;960;plant
Crepis_sp.;159;944;plant
Crepis_sp.;273;953;plant
Crepis_sp.;301;930;plant
Crepis_sp.;315;939;plant
Crepis_sp.;428;920;plant
Crepis_sp.;592;908;plant
Crepis_sp.;595;907;plant
Crepis_sp.;623;965;plant
Crepis_sp.;975;944;plant
Crepis_sp.;728;920;plant
Crepis_sp.;742;922;plant
Crepis_sp.;740;933;plant
Crepis_sp.;746;952;plant
Crepis_sp.;775;941;plant
Crepis_sp.;818;964;plant
Crepis_sp.;868;909;plant
Crepis_sp.;913;905;plant
Crepis_sp.;900;994;plant
Crepis_sp.;52;724;plant
Crepis_sp.;53;708;plant
Crepis_sp.;89;703;plant
Crepis_sp.;99;705;plant
Crepis_sp.;236;703;plant
Crepis_sp.;248;756;plant
Crepis_sp.;251;774;plant
Crepis_sp.;274;748;plant
Crepis_sp.;282;747;plant
Crepis_sp.;280;733;plant
Crepis_sp.;283;729;plant
Crepis_sp.;288;739;plant
Crepis_sp.;301;771;plant
Crepis_sp.;301;777;plant
Crepis_sp.;356;748;plant
Crepis_sp.;439;720;plant
Crepis_sp.;155;250;plant
Crepis_sp.;155;247;plant
Crepis_sp.;196;207;plant
Crepis_sp.;210;290;plant
Crepis_sp.;236;261;plant
Crepis_sp.;237;282;plant
Crepis_sp.;273;299;plant
Crepis_sp.;1438;680;plant
Crepis_sp.;1426;600;plant
Crepis_sp.;1401;626;plant
Crepis_sp.;1334;634;plant
Crepis_sp.;718;672;plant
Crepis_sp.;1308;648;plant
Crepis_sp.;1292;656;plant
Crepis_sp.;1279;671;plant
Crepis_sp.;1088;694;plant
Crepis_sp.;707;622;plant
Crepis_sp.;1079;689;plant
Crepis_sp.;1078;677;plant
Crepis_sp.;1036;626;plant
Crepis_sp.;1029;652;plant
Crepis_sp.;998;604;plant
Crepis_sp.;986;638;plant
Crepis_sp.;899;621;plant
Crepis_sp.;855;615;plant
Crepis_sp.;841;686;plant
Crepis_sp.;836;603;plant
Crepis_sp.;817;613;plant
Crepis_sp.;809;621;plant
Crepis_sp.;782;643;plant
Crepis_sp.;739;681;plant
Crepis_sp.;1321;885;plant
Crepis_sp.;1327;875;plant
Crepis_sp.;1330;835;plant
Crepis_sp.;1374;840;plant
Crepis_sp.;1389;821;plant
Crepis_sp.;1419;890;plant
Crepis_sp.;1427;884;plant
Crepis_sp.;1431;890;plant
Crepis_sp.;1461;814;plant
Crepis_sp.;202;858;plant
Crepis_sp.;212;845;plant
Crepis_sp.;222;864;plant
Crepis_sp.;222;862;plant
Crepis_sp.;305;818;plant
Crepis_sp.;343;804;plant
Crepis_sp.;352;850;plant
Crepis_sp.;396;839;plant
Crepis_sp.;395;824;plant
Crepis_sp.;492;885;plant
Crepis_sp.;531;843;plant
Crepis_sp.;555;843;plant
Crepis_sp.;595;817;plant
Crepis_sp.;719;895;plant
Crepis_sp.;752;842;plant
Crepis_sp.;778;832;plant
Crepis_sp.;778;863;plant
Crepis_sp.;802;887;plant
Crepis_sp.;853;823;plant
Crepis_sp.;882;830;plant
Crepis_sp.;910;900;plant
Crepis_sp.;913;887;plant
Crepis_sp.;961;821;plant
Crepis_sp.;961;831;plant
Crepis_sp.;962;845;plant
Crepis_sp.;964;853;plant
Crepis_sp.;966;881;plant
Crepis_sp.;971;865;plant
Crepis_sp.;977;861;plant
Crepis_sp.;1157;813;plant
Crepis_sp.;1266;847;plant
Crepis_sp.;1448;452;plant
Crepis_sp.;1405;422;plant
Crepis_sp.;1295;500;plant
Crepis_sp.;1181;500;plant
Crepis_sp.;1058;421;plant
Crepis_sp.;1020;417;plant
Crepis_sp.;1015;479;plant
Crepis_sp.;991;500;plant
Crepis_sp.;880;500;plant
Crepis_sp.;852;494;plant
Crepis_sp.;813;413;plant
Crepis_sp.;781;440;plant
Crepis_sp.;649;444;plant
Crepis_sp.;645;464;plant
Crepis_sp.;639;472;plant
Crepis_sp.;601;494;plant
Crepis_sp.;1406;272;plant
Crepis_sp.;1367;205;plant
Crepis_sp.;987;289;plant
Crepis_sp.;602;280;plant
Crepis_sp.;600;269;plant
Crepis_sp.;1407;347;plant
Crepis_sp.;1406;350;plant
Crepis_sp.;1394;391;plant
Crepis_sp.;1370;386;plant
Crepis_sp.;1220;387;plant
Crepis_sp.;1175;65;plant
Crepis_sp.;1178;372;plant
Crepis_sp.;1100;337;plant
Crepis_sp.;1046;373;plant
Crepis_sp.;900;365;plant
Crepis_sp.;698;357;plant
Crepis_sp.;1062;732;plant
Crepis_sp.;1046;805;plant
Crepis_sp.;967;725;plant
Crepis_sp.;929;703;plant
Crepis_sp.;890;764;plant
Crepis_sp.;888;760;plant
Crepis_sp.;853;745;plant
Crepis_sp.;819;770;plant
Crepis_sp.;773;837;plant
Crepis_sp.;746;771;plant
Crepis_sp.;644;727;plant
Crepis_sp.;651;787;plant
Crepis_sp.;530;726;plant
Crepis_sp.;532;744;plant
Crepis_sp.;531;759;plant
Crepis_sp.;522;745;plant
Crepis_sp.;516;732;plant
Crepis_sp.;1464;908;plant
Crepis_sp.;1395;918;plant
Crepis_sp.;1343;975;plant
Crepis_sp.;1328;908;plant
Crepis_sp.;1310;992;plant
Crepis_sp.;1288;930;plant
Crepis_sp.;1288;961;plant
Crepis_sp.;1372;939;plant
Crepis_sp.;1266;976;plant
Crepis_sp.;1174;947;plant
Crepis_sp.;1125;927;plant
Crepis_sp.;1195;984;plant
Crepis_sp.;1191;938;plant
Crepis_sp.;4;582;plant
Crepis_sp.;9;553;plant
Crepis_sp.;11;555;plant
Crepis_sp.;135;571;plant
Crepis_sp.;192;574;plant
Crepis_sp.;192;580;plant
Crepis_sp.;197;521;plant
Crepis_sp.;199;523;plant
Crepis_sp.;207;558;plant
Crepis_sp.;301;525;plant
Crepis_sp.;548;569;plant
Crepis_sp.;586;585;plant
Crepis_sp.;591;505;plant
Crepis_sp.;611;600;plant
Crepis_sp.;612;600;plant
Crepis_sp.;634;516;plant
Crepis_sp.;634;555;plant
Crepis_sp.;636;537;plant
Crepis_sp.;657;570;plant
Crepis_sp.;660;572;plant
Crepis_sp.;674;552;plant
Crepis_sp.;683;560;plant
Crepis_sp.;685;576;plant
Crepis_sp.;690;569;plant
Crepis_sp.;736;571;plant
Crepis_sp.;792;534;plant
Crepis_sp.;744;520;plant
