"pkg" "type" "Exp" "N" "X" "Sd_eff" "Sd_res" "PropSigM" "NbPaths" "NbSigPaths" "AvgRSq" "PropCond" "PropSigPaths"
"lavaan" "random" 76 20 5 1 0.5 0.87 700 74 -0.00672859075112205 0.0566666666666667 0.105714285714286
"lavaan" "random" 81 40 5 1 0.5 0.93 700 45 -0.00102372669604538 0.0483333333333333 0.0642857142857143
"lavaan" "random" 86 60 5 1 0.5 0.96 700 34 -0.00292663521117693 0.045 0.0485714285714286
"lavaan" "random" 91 80 5 1 0.5 0.96 700 41 -0.00212771911812343 0.0333333333333333 0.0585714285714286
"lavaan" "random" 96 100 5 1 0.5 0.96 700 39 -0.00132414126412413 0.045 0.0557142857142857
"lavaan" "random" 101 20 7 1 0.5 0.86 1400 144 -0.00858659078779549 0.0374484126984127 0.102857142857143
"lavaan" "random" 106 40 7 1 0.5 0.87 1400 85 -0.00322019699244788 0.0518542568542569 0.0607142857142857
"lavaan" "random" 111 60 7 1 0.5 0.93 1400 98 -0.00165388292608217 0.0480638528138528 0.07
"lavaan" "random" 116 80 7 1 0.5 0.91 1400 101 -0.000760140735900204 0.057751443001443 0.0721428571428571
"lavaan" "random" 121 100 7 1 0.5 0.96 1400 80 -4.00251295008813e-05 0.040047619047619 0.0571428571428571
"lavaan" "random" 126 20 10 1 0.5 0.59 3000 359 -0.0189017250626735 0.0500247396782933 0.119666666666667
"lavaan" "random" 131 40 10 1 0.5 0.82 3000 229 -0.00638323735706159 0.0487670558876071 0.0763333333333333
"lavaan" "random" 136 60 10 1 0.5 0.88 3000 203 -0.000102878864108134 0.0486050575570464 0.0676666666666667
"lavaan" "random" 141 80 10 1 0.5 0.91 3000 197 -0.00100743102965902 0.0574011496018327 0.0656666666666667
"lavaan" "random" 146 100 10 1 0.5 0.93 3000 189 0.000716869953458432 0.0595630729185413 0.063
"lavaan" "random" 466 20 5 1 1 0.9 700 70 -0.00671926487578822 0.0525 0.1
"lavaan" "random" 471 40 5 1 1 0.87 700 50 -0.00444786970288388 0.0675 0.0714285714285714
"lavaan" "random" 476 60 5 1 1 0.9 700 41 -0.00417095379199793 0.0575 0.0585714285714286
"lavaan" "random" 481 80 5 1 1 0.93 700 44 -0.00144354010967696 0.0433333333333333 0.0628571428571429
"lavaan" "random" 486 100 5 1 1 0.92 700 30 -0.00309831667590908 0.0566666666666667 0.0428571428571429
"lavaan" "random" 491 20 7 1 1 0.81 1400 148 -0.00140384593509268 0.0439260461760462 0.105714285714286
"lavaan" "random" 496 40 7 1 1 0.86 1400 105 -0.00492169198312491 0.0620328282828283 0.075
"lavaan" "random" 501 60 7 1 1 0.91 1400 98 -0.00182337693263121 0.0448019480519481 0.07
"lavaan" "random" 506 80 7 1 1 0.95 1400 90 -0.000187752676124845 0.0330717893217893 0.0642857142857143
"lavaan" "random" 511 100 7 1 1 0.92 1400 79 -0.000411725572318787 0.0624613997113997 0.0564285714285714
"lavaan" "random" 516 20 10 1 1 0.62 3000 400 -0.00929420235095264 0.0512084383437863 0.133333333333333
"lavaan" "random" 521 40 10 1 1 0.85 3000 262 0.00299728037819252 0.0445864803605482 0.0873333333333333
"lavaan" "random" 526 60 10 1 1 0.91 3000 225 -0.00013259350247679 0.0472685051807747 0.075
"lavaan" "random" 531 80 10 1 1 0.91 3000 188 -0.00162084640873591 0.0454535141811121 0.0626666666666667
"lavaan" "random" 536 100 10 1 1 0.88 3000 179 -0.00229132476987008 0.0518227483196422 0.0596666666666667
"lavaan" "random" 856 20 5 1 2 0.86 700 67 -0.0199791363793802 0.06 0.0957142857142857
"lavaan" "random" 861 40 5 1 2 0.96 700 44 -0.00377204483321632 0.055 0.0628571428571429
"lavaan" "random" 866 60 5 1 2 0.95 700 43 -0.00192625276511123 0.0375 0.0614285714285714
"lavaan" "random" 871 80 5 1 2 0.92 700 34 -0.00193122835636982 0.0708333333333333 0.0485714285714286
"lavaan" "random" 876 100 5 1 2 0.91 700 35 -0.00266281602904432 0.0641666666666667 0.05
"lavaan" "random" 881 20 7 1 2 0.77 1400 153 0.00609802210806429 0.0541915584415584 0.109285714285714
"lavaan" "random" 886 40 7 1 2 0.91 1400 111 -0.000273873070215952 0.0474469696969697 0.0792857142857143
"lavaan" "random" 891 60 7 1 2 0.96 1400 116 0.00298191539876853 0.0435479797979798 0.0828571428571429
"lavaan" "random" 896 80 7 1 2 0.94 1400 87 -0.00209229178317517 0.048715367965368 0.0621428571428571
"lavaan" "random" 901 100 7 1 2 0.95 1400 73 -0.00162748681523748 0.0486507936507937 0.0521428571428571
"lavaan" "random" 906 20 10 1 2 0.68 3000 391 -0.00107832716378718 0.0394809702897871 0.130333333333333
"lavaan" "random" 911 40 10 1 2 0.81 3000 250 -0.00241545084930817 0.0508258919017298 0.0833333333333333
"lavaan" "random" 916 60 10 1 2 0.94 3000 219 -0.00144282558211099 0.0356936715812069 0.073
"lavaan" "random" 921 80 10 1 2 0.94 3000 206 0.000645771623363113 0.0419076495581813 0.0686666666666667
"lavaan" "random" 926 100 10 1 2 0.88 3000 183 -0.00232490307401769 0.0504515617882962 0.061
"lavaan" "exact" 77 20 5 1 0.5 0.85 700 492 0.821720411210727 0.0475 0.702857142857143
"lavaan" "exact" 82 40 5 1 0.5 0.93 700 524 0.783701412820592 0.0425 0.748571428571429
"lavaan" "exact" 87 60 5 1 0.5 0.92 700 524 0.807902372583092 0.0491666666666667 0.748571428571429
"lavaan" "exact" 92 80 5 1 0.5 0.91 700 578 0.788760224365071 0.06 0.825714285714286
"lavaan" "exact" 97 100 5 1 0.5 0.9 700 546 0.789057490501162 0.055 0.78
"lavaan" "exact" 102 20 7 1 0.5 0.78 1400 895 0.812736121104062 0.05745670995671 0.639285714285714
"lavaan" "exact" 107 40 7 1 0.5 0.84 1400 961 0.829969825051377 0.0486666666666667 0.686428571428571
"lavaan" "exact" 112 60 7 1 0.5 0.84 1400 936 0.843382157729764 0.0552741702741703 0.668571428571429
"lavaan" "exact" 117 80 7 1 0.5 0.92 1400 1001 0.825086778121688 0.0310530303030303 0.715
"lavaan" "exact" 122 100 7 1 0.5 0.9 1400 1020 0.828321645873926 0.048476911976912 0.728571428571429
"lavaan" "exact" 127 20 10 1 0.5 0.58 3000 1643 0.863150784306354 0.0466843542987775 0.547666666666667
"lavaan" "exact" 132 40 10 1 0.5 0.88 3000 1770 0.870093464091172 0.0370208678385822 0.59
"lavaan" "exact" 137 60 10 1 0.5 0.87 3000 1857 0.87167814856048 0.0596206773472859 0.619
"lavaan" "exact" 142 80 10 1 0.5 0.9 3000 1853 0.884070540623707 0.0495001520697038 0.617666666666667
"lavaan" "exact" 147 100 10 1 0.5 0.87 3000 1864 0.863957935192145 0.0475826255750202 0.621333333333333
"lavaan" "exact" 211 20 5 2.5 0.5 0.83 700 493 0.936483046407028 0.075 0.704285714285714
"lavaan" "exact" 215 40 5 2.5 0.5 0.83 700 535 0.918246843473378 0.0875 0.764285714285714
"lavaan" "exact" 219 60 5 2.5 0.5 0.95 700 553 0.928718800598243 0.0283333333333333 0.79
"lavaan" "exact" 223 80 5 2.5 0.5 0.82 700 545 0.95318416742358 0.0858333333333333 0.778571428571429
"lavaan" "exact" 227 100 5 2.5 0.5 0.86 700 511 0.943715630966551 0.0383333333333333 0.73
"lavaan" "exact" 231 20 7 2.5 0.5 0.73 1400 895 0.940963661749362 0.0564819624819625 0.639285714285714
"lavaan" "exact" 235 40 7 2.5 0.5 0.89 1400 913 0.950074855290699 0.0456746031746032 0.652142857142857
"lavaan" "exact" 239 60 7 2.5 0.5 0.91 1400 946 0.946367132376125 0.0483214285714286 0.675714285714286
"lavaan" "exact" 243 80 7 2.5 0.5 0.85 1400 948 0.942260943722353 0.0504047619047619 0.677142857142857
"lavaan" "exact" 247 100 7 2.5 0.5 0.91 1400 1046 0.939504338418933 0.0278347763347763 0.747142857142857
"lavaan" "exact" 251 20 10 2.5 0.5 0.53 3000 1562 0.951387989455226 0.0553240808611081 0.520666666666667
"lavaan" "exact" 255 40 10 2.5 0.5 0.76 3000 1532 0.948990766319623 0.0451585586225444 0.510666666666667
"lavaan" "exact" 259 60 10 2.5 0.5 0.77 3000 1767 0.947177166164512 0.0445271231288865 0.589
"lavaan" "exact" 263 80 10 2.5 0.5 0.73 3000 1619 0.950114723236892 0.0462418037228173 0.539666666666667
"lavaan" "exact" 267 100 10 2.5 0.5 0.87 3000 1784 0.952499998766968 0.0417596966530874 0.594666666666667
"lavaan" "exact" 331 20 5 5 0.5 0.81 700 495 0.980597603349547 0.0441666666666667 0.707142857142857
"lavaan" "exact" 335 40 5 5 0.5 0.82 700 538 0.979967552008945 0.0533333333333333 0.768571428571429
"lavaan" "exact" 339 60 5 5 0.5 0.86 700 524 0.968111815100206 0.0516666666666667 0.748571428571429
"lavaan" "exact" 343 80 5 5 0.5 0.8 700 476 0.979630282861934 0.0641666666666667 0.68
"lavaan" "exact" 347 100 5 5 0.5 0.8 700 523 0.979572097334677 0.06 0.747142857142857
"lavaan" "exact" 351 20 7 5 0.5 0.62 1400 800 0.982765688866564 0.0617474747474747 0.571428571428571
"lavaan" "exact" 355 40 7 5 0.5 0.87 1400 943 0.984448760842097 0.0610569985569986 0.673571428571429
"lavaan" "exact" 359 60 7 5 0.5 0.87 1400 959 0.985218934488821 0.0445357142857143 0.685
"lavaan" "exact" 363 80 7 5 0.5 0.83 1400 906 0.983485590765743 0.0466998556998557 0.647142857142857
"lavaan" "exact" 367 100 7 5 0.5 0.81 1400 921 0.983755393509651 0.058015873015873 0.657857142857143
"lavaan" "exact" 371 20 10 5 0.5 0.54 3000 1548 0.976567368457933 0.0516076075459068 0.516
"lavaan" "exact" 375 40 10 5 0.5 0.78 3000 1530 0.987087746389815 0.0448575756313204 0.51
"lavaan" "exact" 379 60 10 5 0.5 0.73 3000 1576 0.98375189289558 0.0412453482481683 0.525333333333333
"lavaan" "exact" 383 80 10 5 0.5 0.74 3000 1620 0.983080086742828 0.0508436489046766 0.54
"lavaan" "exact" 387 100 10 5 0.5 0.8 3000 1630 0.985217458645268 0.0426658530839645 0.543333333333333
"lavaan" "exact" 467 20 5 1 1 0.91 700 430 0.6496540096884 0.0416666666666667 0.614285714285714
"lavaan" "exact" 472 40 5 1 1 0.91 700 499 0.635113433994568 0.0583333333333333 0.712857142857143
"lavaan" "exact" 477 60 5 1 1 0.86 700 512 0.647569667598534 0.0883333333333333 0.731428571428571
"lavaan" "exact" 482 80 5 1 1 0.91 700 527 0.628243942845818 0.0533333333333333 0.752857142857143
"lavaan" "exact" 487 100 5 1 1 0.91 700 543 0.657988101234181 0.0558333333333333 0.775714285714286
"lavaan" "exact" 492 20 7 1 1 0.75 1400 805 0.699571395143484 0.0680717893217893 0.575
"lavaan" "exact" 497 40 7 1 1 0.91 1400 890 0.711420666886086 0.0503062770562771 0.635714285714286
"lavaan" "exact" 502 60 7 1 1 0.92 1400 917 0.686652509748314 0.0417662337662338 0.655
"lavaan" "exact" 507 80 7 1 1 0.88 1400 1011 0.669281366797475 0.0664246031746032 0.722142857142857
"lavaan" "exact" 512 100 7 1 1 0.93 1400 1011 0.700410320060042 0.0474386724386724 0.722142857142857
"lavaan" "exact" 517 20 10 1 1 0.59 3000 1525 0.769330225480373 0.0435635627988569 0.508333333333333
"lavaan" "exact" 522 40 10 1 1 0.86 3000 1693 0.783968949561048 0.0547921157879228 0.564333333333333
"lavaan" "exact" 527 60 10 1 1 0.85 3000 1807 0.765082022321465 0.0493841176428503 0.602333333333333
"lavaan" "exact" 532 80 10 1 1 0.79 3000 1886 0.773790727952456 0.0636361182493939 0.628666666666667
"lavaan" "exact" 537 100 10 1 1 0.93 3000 1885 0.759483717210389 0.0403407903898448 0.628333333333333
"lavaan" "exact" 601 20 5 2.5 1 0.86 700 459 0.819773488651183 0.0691666666666667 0.655714285714286
"lavaan" "exact" 605 40 5 2.5 1 0.84 700 504 0.811171025828212 0.0641666666666667 0.72
"lavaan" "exact" 609 60 5 2.5 1 0.9 700 507 0.818609133298873 0.06 0.724285714285714
"lavaan" "exact" 613 80 5 2.5 1 0.91 700 530 0.843611490264895 0.0391666666666667 0.757142857142857
"lavaan" "exact" 617 100 5 2.5 1 0.88 700 570 0.803942920198821 0.0466666666666667 0.814285714285714
"lavaan" "exact" 621 20 7 2.5 1 0.85 1400 898 0.850828203184961 0.0606150793650794 0.641428571428571
"lavaan" "exact" 625 40 7 2.5 1 0.92 1400 930 0.860287068592937 0.0456948051948052 0.664285714285714
"lavaan" "exact" 629 60 7 2.5 1 0.91 1400 967 0.870523644220582 0.0688928571428571 0.690714285714286
"lavaan" "exact" 633 80 7 2.5 1 0.93 1400 1028 0.851783755916505 0.0420530303030303 0.734285714285714
"lavaan" "exact" 637 100 7 2.5 1 0.91 1400 1043 0.857664096170916 0.0500281385281385 0.745
"lavaan" "exact" 641 20 10 2.5 1 0.66 3000 1648 0.89683599416174 0.0448107887005383 0.549333333333333
"lavaan" "exact" 645 40 10 2.5 1 0.82 3000 1754 0.887054516950968 0.0504023589353916 0.584666666666667
"lavaan" "exact" 649 60 10 2.5 1 0.83 3000 1914 0.897685550339651 0.0523428673803724 0.638
"lavaan" "exact" 653 80 10 2.5 1 0.83 3000 1851 0.890397648079192 0.0530955285796449 0.617
"lavaan" "exact" 657 100 10 2.5 1 0.91 3000 1931 0.893307500321137 0.0562985330796443 0.643666666666667
"lavaan" "exact" 721 20 5 5 1 0.9 700 496 0.923359249349825 0.0333333333333333 0.708571428571429
"lavaan" "exact" 725 40 5 5 1 0.85 700 504 0.958293903473126 0.0475 0.72
"lavaan" "exact" 729 60 5 5 1 0.84 700 538 0.928157255113321 0.07 0.768571428571429
"lavaan" "exact" 733 80 5 5 1 0.87 700 511 0.920653014232153 0.0433333333333333 0.73
"lavaan" "exact" 737 100 5 5 1 0.9 700 537 0.936988263255218 0.0666666666666667 0.767142857142857
"lavaan" "exact" 741 20 7 5 1 0.87 1400 923 0.947776682903477 0.0424145021645022 0.659285714285714
"lavaan" "exact" 745 40 7 5 1 0.89 1400 953 0.950303255542728 0.0412380952380952 0.680714285714286
"lavaan" "exact" 749 60 7 5 1 0.88 1400 1011 0.935893457057203 0.0533015873015873 0.722142857142857
"lavaan" "exact" 753 80 7 5 1 0.86 1400 975 0.93445630076145 0.0495645743145743 0.696428571428571
"lavaan" "exact" 757 100 7 5 1 0.85 1400 1029 0.948526682946596 0.0730725108225108 0.735
"lavaan" "exact" 761 20 10 5 1 0.6 3000 1621 0.944325296671584 0.0544794023489709 0.540333333333333
"lavaan" "exact" 765 40 10 5 1 0.79 3000 1738 0.948060813107382 0.0360808940359183 0.579333333333333
"lavaan" "exact" 769 60 10 5 1 0.77 3000 1683 0.954909066600325 0.0593334771187443 0.561
"lavaan" "exact" 773 80 10 5 1 0.83 3000 1821 0.950281696527098 0.0646256725282166 0.607
"lavaan" "exact" 777 100 10 5 1 0.85 3000 2000 0.954478494545731 0.0626917866238098 0.666666666666667
"lavaan" "exact" 857 20 5 1 2 0.91 700 370 0.425432822117527 0.0441666666666667 0.528571428571429
"lavaan" "exact" 862 40 5 1 2 0.9 700 408 0.450217691646823 0.0416666666666667 0.582857142857143
"lavaan" "exact" 867 60 5 1 2 0.9 700 441 0.455980337233238 0.0691666666666667 0.63
"lavaan" "exact" 872 80 5 1 2 0.94 700 480 0.472119028820752 0.0466666666666667 0.685714285714286
"lavaan" "exact" 877 100 5 1 2 0.92 700 490 0.498359040940261 0.0441666666666667 0.7
"lavaan" "exact" 882 20 7 1 2 0.84 1400 685 0.548557378766064 0.0599448051948052 0.489285714285714
"lavaan" "exact" 887 40 7 1 2 0.91 1400 783 0.52888052003028 0.0522027417027417 0.559285714285714
"lavaan" "exact" 892 60 7 1 2 0.93 1400 862 0.557600461813439 0.0449462481962482 0.615714285714286
"lavaan" "exact" 897 80 7 1 2 0.93 1400 887 0.546782559276225 0.0554613997113997 0.633571428571429
"lavaan" "exact" 902 100 7 1 2 0.94 1400 939 0.557710284797341 0.0466269841269841 0.670714285714286
"lavaan" "exact" 907 20 10 1 2 0.6 3000 1426 0.632673546048391 0.0564150745868003 0.475333333333333
"lavaan" "exact" 912 40 10 1 2 0.84 3000 1510 0.645611780097251 0.0577783115741589 0.503333333333333
"lavaan" "exact" 917 60 10 1 2 0.86 3000 1709 0.606207439927887 0.0478964755092801 0.569666666666667
"lavaan" "exact" 922 80 10 1 2 0.9 3000 1735 0.630806927596993 0.0412123643216388 0.578333333333333
"lavaan" "exact" 927 100 10 1 2 0.92 3000 1774 0.626128252357816 0.056389976151337 0.591333333333333
"lavaan" "exact" 991 20 5 2.5 2 0.89 700 464 0.688936133346128 0.06 0.662857142857143
"lavaan" "exact" 995 40 5 2.5 2 0.94 700 475 0.714436454673923 0.035 0.678571428571429
"lavaan" "exact" 999 60 5 2.5 2 0.88 700 531 0.729748738961329 0.055 0.758571428571429
"lavaan" "exact" 1003 80 5 2.5 2 0.9 700 542 0.706869797614283 0.0491666666666667 0.774285714285714
"lavaan" "exact" 1007 100 5 2.5 2 0.89 700 531 0.701940605503847 0.0533333333333333 0.758571428571429
"lavaan" "exact" 1011 20 7 2.5 2 0.81 1400 802 0.726275503436464 0.0549563492063492 0.572857142857143
"lavaan" "exact" 1015 40 7 2.5 2 0.87 1400 929 0.748874498888315 0.0612698412698413 0.663571428571429
"lavaan" "exact" 1019 60 7 2.5 2 0.99 1400 973 0.741316688820688 0.0471320346320346 0.695
"lavaan" "exact" 1023 80 7 2.5 2 0.94 1400 968 0.766432384612431 0.0378773448773449 0.691428571428571
"lavaan" "exact" 1027 100 7 2.5 2 0.94 1400 1004 0.740668299246315 0.0374646464646465 0.717142857142857
"lavaan" "exact" 1031 20 10 2.5 2 0.68 3000 1562 0.80013568678377 0.0449030787996497 0.520666666666667
"lavaan" "exact" 1035 40 10 2.5 2 0.87 3000 1721 0.811395442942801 0.047322498383513 0.573666666666667
"lavaan" "exact" 1039 60 10 2.5 2 0.87 3000 1844 0.803230118518296 0.0461702712324095 0.614666666666667
"lavaan" "exact" 1043 80 10 2.5 2 0.9 3000 1824 0.821069885075555 0.040753000021172 0.608
"lavaan" "exact" 1047 100 10 2.5 2 0.9 3000 1925 0.803652560313597 0.0490624156976021 0.641666666666667
"lavaan" "exact" 1111 20 5 5 2 0.9 700 523 0.852123782126773 0.0483333333333333 0.747142857142857
"lavaan" "exact" 1115 40 5 5 2 0.92 700 542 0.842012727755912 0.0308333333333333 0.774285714285714
"lavaan" "exact" 1119 60 5 5 2 0.9 700 537 0.835358820603092 0.0533333333333333 0.767142857142857
"lavaan" "exact" 1123 80 5 5 2 0.85 700 556 0.821642913495628 0.0883333333333333 0.794285714285714
"lavaan" "exact" 1127 100 5 5 2 0.93 700 555 0.805298829972385 0.0566666666666667 0.792857142857143
"lavaan" "exact" 1131 20 7 5 2 0.77 1400 903 0.887264498276332 0.042297619047619 0.645
"lavaan" "exact" 1135 40 7 5 2 0.86 1400 992 0.853803932993982 0.0554603174603175 0.708571428571429
"lavaan" "exact" 1139 60 7 5 2 0.93 1400 958 0.881989384271943 0.0631904761904762 0.684285714285714
"lavaan" "exact" 1143 80 7 5 2 0.9 1400 1019 0.857289005954088 0.0417738095238095 0.727857142857143
"lavaan" "exact" 1147 100 7 5 2 0.88 1400 1050 0.865516845265212 0.0530353535353535 0.75
"lavaan" "exact" 1151 20 10 5 2 0.57 3000 1717 0.89603392620581 0.0560265339198574 0.572333333333333
