"pkg" "Exp" "N" "X" "type" "PropSigM" "NbPaths" "NbSigPaths" "AvgRSq" "PropCond" "PropSigPaths" "Data"
"lavaan" 55 20 5 "random" 0.89 700 61 -0.00386245221475804 0.0633333333333333 0.0871428571428571 "Random"
"lavaan" 56 30 5 "random" 0.91 700 64 0.00483642210467572 0.0358333333333333 0.0914285714285714 "Random"
"lavaan" 57 40 5 "random" 0.92 700 50 -0.000726881973866945 0.0475 0.0714285714285714 "Random"
"lavaan" 58 50 5 "random" 0.92 700 43 -0.00306303261221847 0.0525 0.0614285714285714 "Random"
"lavaan" 59 60 5 "random" 0.93 700 36 -0.000635139468670047 0.0591666666666667 0.0514285714285714 "Random"
"lavaan" 60 70 5 "random" 0.92 700 39 0.000805400887298015 0.0491666666666667 0.0557142857142857 "Random"
"lavaan" 61 80 5 "random" 0.91 700 38 3.60404934314967e-06 0.075 0.0542857142857143 "Random"
"lavaan" 62 90 5 "random" 0.92 700 40 -0.000673044204838751 0.045 0.0571428571428571 "Random"
"lavaan" 63 100 5 "random" 0.96 700 50 0.00167167978897609 0.035 0.0714285714285714 "Random"
"lavaan" 64 20 6 "random" 0.87 1000 105 -0.000870973506071052 0.0442857142857143 0.105 "Random"
"lavaan" 65 30 6 "random" 0.92 1000 84 0.00363234559832211 0.0361428571428571 0.084 "Random"
"lavaan" 66 40 6 "random" 0.91 1000 69 0.000801259881052624 0.0358095238095238 0.069 "Random"
"lavaan" 67 50 6 "random" 0.91 1000 62 -0.00134228501016742 0.0686190476190476 0.062 "Random"
"lavaan" 68 60 6 "random" 0.93 1000 61 -0.000658254639390904 0.0404285714285714 0.061 "Random"
"lavaan" 69 70 6 "random" 0.92 1000 62 -6.90406315521178e-05 0.0484285714285714 0.062 "Random"
"lavaan" 70 80 6 "random" 0.95 1000 54 -0.000179090236462178 0.0423333333333333 0.054 "Random"
"lavaan" 71 90 6 "random" 0.95 1000 64 0.000866725855673375 0.0454166666666667 0.064 "Random"
"lavaan" 72 100 6 "random" 0.94 1000 63 0.000987018083970913 0.052952380952381 0.063 "Random"
"lavaan" 73 20 7 "random" 0.81 1400 156 -0.00599595073202549 0.0485555555555556 0.111428571428571 "Random"
"lavaan" 74 30 7 "random" 0.9 1400 98 -0.00683344975439224 0.0473351370851371 0.07 "Random"
"lavaan" 75 40 7 "random" 0.9 1400 84 -0.00573403923247622 0.0612435064935065 0.06 "Random"
"lavaan" 76 50 7 "random" 0.89 1400 86 -0.00115894283138551 0.0606356421356421 0.0614285714285714 "Random"
"lavaan" 77 60 7 "random" 0.93 1400 69 -0.00211747340692197 0.0574960317460317 0.0492857142857143 "Random"
"lavaan" 78 70 7 "random" 0.95 1400 106 0.00215028148237919 0.0541388888888889 0.0757142857142857 "Random"
"lavaan" 79 80 7 "random" 0.93 1400 92 -0.000102450371087358 0.039794733044733 0.0657142857142857 "Random"
"lavaan" 80 90 7 "random" 0.94 1400 83 8.72937817613964e-05 0.0679722222222222 0.0592857142857143 "Random"
"lavaan" 81 100 7 "random" 0.97 1400 82 0.000682894497051816 0.0435919913419913 0.0585714285714286 "Random"
"lavaan" 82 20 8 "random" 0.8 1900 211 0.000277555191584623 0.0379320679320679 0.111052631578947 "Random"
"lavaan" 83 30 8 "random" 0.8 1900 198 0.00551507041518916 0.0728385503385503 0.104210526315789 "Random"
"lavaan" 84 40 8 "random" 0.88 1900 139 7.66180764885876e-05 0.0599804084804085 0.0731578947368421 "Random"
"lavaan" 85 50 8 "random" 0.91 1900 142 0.000385866618068699 0.0496072261072261 0.0747368421052632 "Random"
"lavaan" 86 60 8 "random" 0.97 1900 119 -0.000889092176711404 0.0397681207681208 0.0626315789473684 "Random"
"lavaan" 87 70 8 "random" 0.93 1900 143 0.00353608570521548 0.0526028971028971 0.0752631578947368 "Random"
"lavaan" 88 80 8 "random" 0.95 1900 131 0.00118029833946586 0.0479141969141969 0.0689473684210526 "Random"
"lavaan" 89 90 8 "random" 0.96 1900 104 -0.00089941343514443 0.0476436341436341 0.0547368421052632 "Random"
"lavaan" 90 100 8 "random" 0.92 1900 110 -0.000675110204063822 0.0480788655788656 0.0578947368421053 "Random"
"lavaan" 91 20 9 "random" 0.65 2400 287 -0.00862287838887949 0.0575851671977833 0.119583333333333 "Random"
"lavaan" 92 30 9 "random" 0.81 2400 184 -0.0045818475758419 0.0494373720534711 0.0766666666666667 "Random"
"lavaan" 93 40 9 "random" 0.9 2400 186 -0.00198019956346126 0.043255105145972 0.0775 "Random"
"lavaan" 94 50 9 "random" 0.92 2400 164 -0.000398832007369043 0.0512472399891131 0.0683333333333333 "Random"
"lavaan" 95 60 9 "random" 0.89 2400 164 -0.000484709613501476 0.0515953113364104 0.0683333333333333 "Random"
"lavaan" 96 70 9 "random" 0.87 2400 139 -0.00122142643390517 0.0588703583997702 0.0579166666666667 "Random"
"lavaan" 97 80 9 "random" 0.9 2400 154 0.00036876374885613 0.0523466079414222 0.0641666666666667 "Random"
"lavaan" 98 90 9 "random" 0.92 2400 155 0.00120219602477951 0.0460225837973516 0.0645833333333333 "Random"
"lavaan" 99 100 9 "random" 0.9 2400 159 0.000660784923692265 0.0564316503929507 0.06625 "Random"
"lavaan" 100 20 10 "random" 0.68 3000 389 -0.00157601682703781 0.0416980194518692 0.129666666666667 "Random"
"lavaan" 101 30 10 "random" 0.7 3000 289 0.00160816369741972 0.049989329438229 0.0963333333333333 "Random"
"lavaan" 102 40 10 "random" 0.87 3000 250 0.000632042610567342 0.0502425151009483 0.0833333333333333 "Random"
"lavaan" 103 50 10 "random" 0.87 3000 199 -0.000594557560544023 0.0551827710828081 0.0663333333333333 "Random"
"lavaan" 104 60 10 "random" 0.87 3000 193 -0.00169608809669776 0.0519192185299333 0.0643333333333333 "Random"
"lavaan" 105 70 10 "random" 0.88 3000 204 -6.05885592481972e-05 0.051045186435885 0.068 "Random"
"lavaan" 106 80 10 "random" 0.91 3000 192 0.000243317102925923 0.0563319613893682 0.064 "Random"
"lavaan" 107 90 10 "random" 0.93 3000 198 0.000199293927352112 0.0471869926173197 0.066 "Random"
"lavaan" 108 100 10 "random" 0.9 3000 189 0.000641293909564526 0.0614258661284573 0.063 "Random"
"pcsem" 1 20 5 "random" 0.96 700 36 -6.32767465681774e-05 0.0533333333333333 0.0514285714285714 "Random"
"pcsem" 2 30 5 "random" 0.94 700 38 0.0041803098948271 0.0508333333333333 0.0542857142857143 "Random"
"pcsem" 3 40 5 "random" 0.96 700 43 0.0030585932505444 0.0558333333333333 0.0614285714285714 "Random"
"pcsem" 4 50 5 "random" 0.95 700 32 -0.00160492785359804 0.0425 0.0457142857142857 "Random"
"pcsem" 5 60 5 "random" 0.95 700 29 -0.00163136910919114 0.0483333333333333 0.0414285714285714 "Random"
"pcsem" 6 70 5 "random" 0.94 700 34 -0.000224388176996328 0.0516666666666667 0.0485714285714286 "Random"
"pcsem" 7 80 5 "random" 0.9 700 35 -0.000802413664398986 0.065 0.05 "Random"
"pcsem" 8 90 5 "random" 0.94 700 28 -0.00197901447536103 0.0525 0.04 "Random"
"pcsem" 9 100 5 "random" 0.98 700 31 -0.000752482377817319 0.0458333333333333 0.0442857142857143 "Random"
"pcsem" 10 20 6 "random" 0.91 1000 48 0.00158340038939332 0.0686666666666667 0.048 "Random"
"pcsem" 11 30 6 "random" 0.97 1000 50 -0.0028436834105151 0.0361904761904762 0.05 "Random"
"pcsem" 12 40 6 "random" 0.97 1000 52 0.00362559538459003 0.0375833333333333 0.052 "Random"
"pcsem" 13 50 6 "random" 0.95 1000 51 -0.000118882617535367 0.0306666666666667 0.051 "Random"
"pcsem" 14 60 6 "random" 0.92 1000 58 0.00145834098157301 0.0541428571428571 0.058 "Random"
"pcsem" 15 70 6 "random" 0.96 1000 48 -4.54918046679291e-06 0.0448095238095238 0.048 "Random"
"pcsem" 16 80 6 "random" 0.94 1000 47 0.00040287318497814 0.0477738095238095 0.047 "Random"
"pcsem" 17 90 6 "random" 0.96 1000 51 0.000596795685578753 0.0405238095238095 0.051 "Random"
"pcsem" 18 100 6 "random" 0.97 1000 55 -0.000186724716612816 0.0542380952380952 0.055 "Random"
"pcsem" 19 20 7 "random" 0.97 1400 66 -0.00203850772475195 0.0389761904761905 0.0471428571428571 "Random"
"pcsem" 20 30 7 "random" 0.97 1400 63 0.000340703655438666 0.0412229437229437 0.045 "Random"
"pcsem" 21 40 7 "random" 0.98 1400 67 0.000479292305393006 0.0458730158730159 0.0478571428571429 "Random"
"pcsem" 22 50 7 "random" 0.94 1400 71 -0.000271360301779699 0.0396626984126984 0.0507142857142857 "Random"
"pcsem" 23 60 7 "random" 0.96 1400 74 -7.36050083319172e-05 0.0428888888888889 0.0528571428571429 "Random"
"pcsem" 24 70 7 "random" 0.96 1400 66 -0.000716493684705775 0.0510873015873016 0.0471428571428571 "Random"
"pcsem" 25 80 7 "random" 0.94 1400 65 8.09542343477166e-05 0.0517896825396825 0.0464285714285714 "Random"
"pcsem" 26 90 7 "random" 0.95 1400 56 -0.000494403669346499 0.0381031746031746 0.04 "Random"
"pcsem" 27 100 7 "random" 0.94 1400 59 -0.000627539832277335 0.0537936507936508 0.0421428571428571 "Random"
"pcsem" 28 20 8 "random" 0.93 1900 81 -0.00235396985716126 0.0512581307581308 0.0426315789473684 "Random"
"pcsem" 29 30 8 "random" 0.96 1900 85 -0.00149243496139058 0.0424110889110889 0.0447368421052632 "Random"
"pcsem" 30 40 8 "random" 0.93 1900 98 -0.00172115407301671 0.0577282717282717 0.0515789473684211 "Random"
"pcsem" 31 50 8 "random" 0.96 1900 95 0.00015670869284913 0.0547585747585748 0.05 "Random"
